id,title,youtube_id,village_id,village_name,created_at
5,Άνω Δερόπολη — Ένας παράδεισος πολυφωνίας,cMIqPqVGC4w,,,2026-06-10 14:46:04
6,Στης Δερόπολης τον κάμπο — Πολυφωνικό Βορείου Ηπείρου,ayKSbsZWAv8,,,2026-06-10 14:46:05
7,Μες τα χωριά της Δερόπολης τούτο το καλοκαίρι,RUrTYtjJPNg,,,2026-06-10 14:46:06
8,Πολιτ. Σύλλ. Δερόπολης — Χορός «Οι Κλέφτες»,7u95GumRzFM,,,2026-06-10 14:46:07
9,Χορευτικό Δρόπολης,276468VDj-E,,,2026-06-10 14:46:09
10,Δεροπολίτισσα — Ιστορικός χορός και τραγούδι της Δερόπολης,7yP7FS9Uv64,,,2026-06-10 14:46:10
11,Χορευτικός και Πολιτιστικός Σύλλογος Δερόπολης — Εκδήλωση 2014,_B6FiuCcxGY,,,2026-06-10 14:46:11
19,«Δρόπολη Αγάπη μου Γλυκιά»,j48lIkgRIT4,,,2026-06-10 19:42:22
20,Πανηγύρι Σωτήρας (Δρόπολη) 2023,Fsb4mHm29lw,77,Σωτήρα,2026-06-10 19:42:22
21,Σελλειό Άνω Δρόπολης — Βορείου Ηπείρου,ElPerrSamw4,74,Σελλιό,2026-06-10 19:42:22
22,Δρόπολη — «Ο τόπος και το τραγούδι του» (Α΄ μέρος),QtW7baIisSw,,,2026-06-10 19:42:22
23,Deropoli (Dropoli) — Greek Dance Northern Epirus,hMzBljtjoVU,,,2026-06-10 19:42:22
24,Δρόπολη Βορείου Ηπείρου 2,OS_IzmNmxCs,,,2026-06-10 19:42:22
25,Βουλιαράτες — Δρόπολη,KWaUbSdQtZ4,69,Βουλιαράτες,2026-06-10 19:42:22
26,Δεκαπενταύγουστος 2025 στη Δερβιτσάνη,hmvjbeIXSTc,51,Δερβιτσάνη,2026-06-10 19:42:22
27,Δερβιτσάνη Δερόπολης 2020,xAbF5Z5l2Lw,51,Δερβιτσάνη,2026-06-10 19:42:22
28,Πανηγύρι Δερβιτσάνης — Βόρειος Ήπειρος,O9Nb7xWP9sA,51,Δερβιτσάνη,2026-06-10 19:42:22
29,Πάσχα 2024 — Δερβιτσάνη Δερόπολης,4vaScNATz7M,51,Δερβιτσάνη,2026-06-10 19:42:22
30,Δερβιτσάνη — 15 Αυγούστου 2022 (Α΄ μέρος),8O7w5XUuvBk,51,Δερβιτσάνη,2026-06-10 19:42:22
31,Δερβιτσάνη — Εθνική Εορτή Ελλήνων Βορείου Ηπείρου,wjB7qwTVWzI,51,Δερβιτσάνη,2026-06-10 19:42:22
32,Γλυκερία — «Μέχρι να βρούμε ουρανό» Live Δερβιτσάνη,78PVPdxRP_o,51,Δερβιτσάνη,2026-06-10 19:42:22
33,Δερβιτσάνη — Δεκαπενταύγουστος 2022 (Έναρξη Πανηγυριού),habXvHB9iAs,51,Δερβιτσάνη,2026-06-10 19:42:22
34,Δερβιτσάνη Βορείας Ηπείρου — Ιερές Μονές και Παρεκκλήσια,_jp1EyCP89U,51,Δερβιτσάνη,2026-06-10 19:42:22
35,«Όσα λουλούδια έχει η άνοιξη» — Σωτήρα Βορείου Ηπείρου,MdQuLXgS_tE,77,Σωτήρα,2026-06-10 19:42:22
36,«Κλέφτες» Δρόπολης — Παραδοσιακός χορός,zoTxAYhssRs,,,2026-06-10 19:42:22
37,Χωριό Κρά — 9 Μαΐου 2026,KckV_ypIHpw,83,Κουρά,2026-06-10 19:42:22
38,Χωριό Κρά — 3 Μαΐου 2026,mkyKb8S6VVg,83,Κουρά,2026-06-10 19:42:22
39,Χωριό Κρά — 5 Απριλίου 2026,Lgie8WR0piY,83,Κουρά,2026-06-10 19:42:22
40,Χωριό Κρά — 1 Απριλίου 2026,T-oMMzejQJg,83,Κουρά,2026-06-10 19:42:22
41,Χωριό Κρά — 25 Μαρτίου 2026,1CLsClQzfpA,83,Κουρά,2026-06-10 19:42:22
42,Χωριό Κρά — 22 Μαρτίου 2026,W7cKITC1mIc,83,Κουρά,2026-06-10 19:42:22
43,Χωριά Δρόπολης — Πέπελη (Εκδρομή με τον Χάρη),dyMfwy6RML8,72,Πέπελη,2026-06-10 19:42:22
44,Άνω Επισκοπή Δρόπολη — Κώστας Καλόγερος,YnvXpQC-zyk,62,Άνω Επισκοπή,2026-06-10 19:42:22
45,Άνω Επισκοπή Δρόπολη (5) — Κώστας Καλόγερος,dOek4vwSYTQ,62,Άνω Επισκοπή,2026-06-10 19:42:22
46,Τραγούδι για τη Δρόπολη — Εύη Κούρτη,XTZ-9Y2p0Z4,,,2026-06-10 19:42:22
47,Βραχογοραντζή,3MCT_oJlaGY,65,Βραχογοραντζή,2026-06-10 19:42:22
48,Κοσσοβίτσα Άνω Δρόπολης 2017,vnnYicPWtvc,80,Κοσσοβίτσα,2026-06-10 19:42:22
49,Χωριό Κρά,ABDl3HowpAs,83,Κουρά,2026-06-10 19:42:22
50,Δερόπολη — 8 Ιουνίου 2020,b1SIT7Q7uRM,72,Πέπελη,2026-06-10 19:42:22
51,Κοπή Πίτας 2020 — Αδελφότητα Πεπελιωτών (Γ΄ μέρος),C6gh4UmHYA8,72,Πέπελη,2026-06-10 19:42:22
52,Κοπή Πίτας 2020 — Αδελφότητα Πεπελιωτών (Β΄ μέρος),kakhg0RSX84,72,Πέπελη,2026-06-10 19:42:22
53,Κοπή Πίτας 2020 — Αδελφότητα Πεπελιωτών (Α΄ μέρος),02i8NjwQIT0,72,Πέπελη,2026-06-10 19:42:22
54,Ανταμωμα Δεροπολιτών — Αθήνα 24 Νοεμβρίου 2019,bSJk1BKyd_U,,,2026-06-10 19:42:22
55,Εκδήλωση Δεροπολιτών — Αθήνα 27 Ιουλίου 2019,SIi1Vhqo1Z8,,,2026-06-10 19:42:22
56,Άγιος Δημήτριος Πέπελη — 26 Οκτωβρίου 2019,TCjShJyCiTE,72,Πέπελη,2026-06-10 19:42:22
57,Πέπελη — Μάρτιος 2019 (Α΄ μέρος),BOvb6rzMxtc,72,Πέπελη,2026-06-10 19:42:22
58,Πέπελη — Ιανουάριος 2019,PT1hvDLXQAM,72,Πέπελη,2026-06-10 19:42:22
59,Κοπή Πίτας 2019 — Αδελφότητα Πεπελιωτών (Θ΄ μέρος),5fzRK9Wq0ko,72,Πέπελη,2026-06-10 19:42:22
60,Κοπή Πίτας 2019 — Αδελφότητα Πεπελιωτών (Η΄ μέρος),I4WiOAtlkDM,72,Πέπελη,2026-06-10 19:42:22
61,Κοπή Πίτας 2019 — Αδελφότητα Πεπελιωτών (Ε΄ μέρος),lvYOeEThiOo,72,Πέπελη,2026-06-10 19:42:22
62,Κοπή Πίτας 2019 — Αδελφότητα Πεπελιωτών (Δ΄ μέρος),LISoEHicQeg,72,Πέπελη,2026-06-10 19:42:22
63,Κοπή Πίτας 2019 — Αδελφότητα Πεπελιωτών (Β΄ μέρος),sbYECwslMqA,72,Πέπελη,2026-06-10 19:42:22
